Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-12-17,Spider-Man: No Way Home,2021,https://boxd.it/2mFzUp,4,,,2021-12-16
2021-12-18,Jumanji: Welcome to the Jungle,2017,https://boxd.it/2mVYNF,2.5,Yes,,2021-12-17
2021-12-19,The King,2019,https://boxd.it/2mZs1d,3.5,,,2021-12-18
2021-12-20,Ocean's Eight,2018,https://boxd.it/2nfMR1,2,,,2021-12-19
2021-12-20,Tangled,2010,https://boxd.it/2nfNFv,2.5,Yes,,2021-12-19
2022-01-19,Ocean's Thirteen,2007,https://boxd.it/2uYsKH,2.5,,,2021-12-19
2021-12-25,Die Hard,1988,https://boxd.it/2oeO7B,4,Yes,,2021-12-24
2021-12-27,Spider-Man,2002,https://boxd.it/2oGUgl,3.5,Yes,,2021-12-26
2021-12-27,Encanto,2021,https://boxd.it/2oKBJB,3,,,2021-12-26
2021-12-28,Spider-Man 2,2004,https://boxd.it/2oZegL,4,,,2021-12-27
2022-01-01,Footloose,2011,https://boxd.it/2qdZJ3,2,,,2021-12-31
2022-01-01,Grease,1978,https://boxd.it/2qdZSJ,2.5,,,2021-12-31
2022-01-02,Don't Look Up,2021,https://boxd.it/2qzcxr,3.5,,,2022-01-01
2022-01-04,Spider-Man 3,2007,https://boxd.it/2r1Bn3,3.5,,,2022-01-03
2022-01-07,Alien Resurrection,1997,https://boxd.it/2rLrPN,1.5,,,2022-01-06
2022-01-09,The Matrix,1999,https://boxd.it/2sbdmJ,4.5,Yes,,2022-01-08
2022-01-09,Clueless,1995,https://boxd.it/2sflSL,3,,,2022-01-08
2022-01-09,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2siKaZ,5,Yes,,2022-01-08
2022-01-09,Spider-Man: Homecoming,2017,https://boxd.it/2slu7B,3,Yes,,2022-01-09
2022-01-10,The Matrix Reloaded,2003,https://boxd.it/2swQpJ,4,,,2022-01-09
2022-01-10,Midsommar,2019,https://boxd.it/2szqtV,4.5,,,2022-01-09
2022-01-12,The Matrix Revolutions,2003,https://boxd.it/2t4SWD,3.5,,,2022-01-11
